#No.   Fermi energy(eV)   SHC((hbar/e)*S/cm)
 529    10.841700    0.87439495E+01
 530    10.851700    0.87778874E+01
 531    10.861700    0.88058524E+01
 532    10.871700    0.88247870E+01
 533    10.881700    0.88558337E+01
 534    10.891700    0.88954914E+01
 535    10.901700    0.89159921E+01
 536    10.911700    0.89479896E+01
 537    10.921700    0.89685842E+01
 538    10.931700    0.89943168E+01
 539    10.941700    0.90129118E+01
 540    10.951700    0.90387149E+01
 541    10.961700    0.90688188E+01
 542    10.971700    0.90926744E+01
 543    10.981700    0.91115180E+01
 544    10.991700    0.91371336E+01
 545    11.001700    0.91586808E+01
 546    11.011700    0.91844596E+01
 547    11.021700    0.91990277E+01
 548    11.031700    0.92272329E+01
 549    11.041700    0.92629034E+01
 550    11.051700    0.92857744E+01
 551    11.061700    0.93035130E+01
 552    11.071700    0.93183762E+01
 553    11.081700    0.93541664E+01
 554    11.091700    0.93788859E+01
 555    11.101700    0.94005724E+01
 556    11.111700    0.94186296E+01
 557    11.121700    0.94324935E+01
 558    11.131700    0.94573083E+01
 559    11.141700    0.94810307E+01
 560    11.151700    0.94993494E+01
 561    11.161700    0.95142221E+01
 562    11.171700    0.95419909E+01
 563    11.181700    0.95663058E+01
 564    11.191700    0.95782772E+01
 565    11.201700    0.96015844E+01
 566    11.211700    0.96173723E+01
 567    11.221700    0.96378144E+01
 568    11.231700    0.96565617E+01
 569    11.241700    0.96778456E+01
 570    11.251700    0.96954396E+01
 571    11.261700    0.97069645E+01
 572    11.271700    0.97244698E+01
 573    11.281700    0.97488156E+01
 574    11.291700    0.97623700E+01
 575    11.301700    0.97828914E+01
 576    11.311700    0.98010383E+01
 577    11.321700    0.98126833E+01
 578    11.331700    0.98309680E+01
 579    11.341700    0.98446930E+01
 580    11.351700    0.98555711E+01
 581    11.361700    0.98726850E+01
 582    11.371700    0.98861592E+01
 583    11.381700    0.99064835E+01
 584    11.391700    0.99216267E+01
 585    11.401700    0.99333022E+01
 586    11.411700    0.99480825E+01
 587    11.421700    0.99591707E+01
 588    11.431700    0.99724622E+01
 589    11.441700    0.99833591E+01
 590    11.451700    0.99969914E+01
 591    11.461700    0.10009213E+02
 592    11.471700    0.10018843E+02
 593    11.481700    0.10027711E+02
 594    11.491700    0.10041641E+02
 595    11.501700    0.10051246E+02
 596    11.511700    0.10063223E+02
 597    11.521700    0.10072665E+02
 598    11.531700    0.10087389E+02
 599    11.541700    0.10092015E+02
 600    11.551700    0.10107674E+02
 601    11.561700    0.10115975E+02
